Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Date
Anhui,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Beijing,Mainland China,1/22/2020 17:00,14.0,0.0,0.0,14.0,2020-01-22
Chongqing,Mainland China,1/22/2020 17:00,6.0,0.0,0.0,6.0,2020-01-22
Fujian,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Gansu,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0,2020-01-22
Guangdong,Mainland China,1/22/2020 17:00,26.0,0.0,0.0,26.0,2020-01-22
Guangxi,Mainland China,1/22/2020 17:00,2.0,0.0,0.0,2.0,2020-01-22
Guizhou,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Hainan,Mainland China,1/22/2020 17:00,4.0,0.0,0.0,4.0,2020-01-22
Hebei,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Heilongjiang,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0,2020-01-22
Henan,Mainland China,1/22/2020 17:00,5.0,0.0,0.0,5.0,2020-01-22
Hong Kong,Hong Kong,1/22/2020 17:00,0.0,0.0,0.0,0.0,2020-01-22
Hubei,Mainland China,1/22/2020 17:00,444.0,17.0,28.0,399.0,2020-01-22
Hunan,Mainland China,1/22/2020 17:00,4.0,0.0,0.0,4.0,2020-01-22
Inner Mongolia,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0,2020-01-22
Jiangsu,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Jiangxi,Mainland China,1/22/2020 17:00,2.0,0.0,0.0,2.0,2020-01-22
Jilin,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0,2020-01-22
Liaoning,Mainland China,1/22/2020 17:00,2.0,0.0,0.0,2.0,2020-01-22
Macau,Macau,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Ningxia,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Qinghai,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0,2020-01-22
Shaanxi,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0,2020-01-22
Shandong,Mainland China,1/22/2020 17:00,2.0,0.0,0.0,2.0,2020-01-22
Shanghai,Mainland China,1/22/2020 17:00,9.0,0.0,0.0,9.0,2020-01-22
Shanxi,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Sichuan,Mainland China,1/22/2020 17:00,5.0,0.0,0.0,5.0,2020-01-22
Taiwan,Taiwan,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Tianjin,Mainland China,1/22/2020 17:00,4.0,0.0,0.0,4.0,2020-01-22
Tibet,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0,2020-01-22
Washington,US,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Xinjiang,Mainland China,1/22/2020 17:00,0.0,0.0,0.0,0.0,2020-01-22
Yunnan,Mainland China,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Zhejiang,Mainland China,1/22/2020 17:00,10.0,0.0,0.0,10.0,2020-01-22
---,Japan,1/22/2020 17:00,2.0,0.0,0.0,2.0,2020-01-22
---,Thailand,1/22/2020 17:00,2.0,0.0,0.0,2.0,2020-01-22
---,South Korea,1/22/2020 17:00,1.0,0.0,0.0,1.0,2020-01-22
Anhui,Mainland China,1/23/20 17:00,9.0,0.0,0.0,9.0,2020-01-23
Beijing,Mainland China,1/23/20 17:00,22.0,0.0,0.0,22.0,2020-01-23
Chongqing,Mainland China,1/23/20 17:00,9.0,0.0,0.0,9.0,2020-01-23
Fujian,Mainland China,1/23/20 17:00,5.0,0.0,0.0,5.0,2020-01-23
Gansu,Mainland China,1/23/20 17:00,2.0,0.0,0.0,2.0,2020-01-23
Guangdong,Mainland China,1/23/20 17:00,32.0,0.0,2.0,30.0,2020-01-23
Guangxi,Mainland China,1/23/20 17:00,5.0,0.0,0.0,5.0,2020-01-23
Guizhou,Mainland China,1/23/20 17:00,3.0,0.0,0.0,3.0,2020-01-23
Hainan,Mainland China,1/23/20 17:00,5.0,0.0,0.0,5.0,2020-01-23
Hebei,Mainland China,1/23/20 17:00,1.0,1.0,0.0,0.0,2020-01-23
Heilongjiang,Mainland China,1/23/20 17:00,2.0,0.0,0.0,2.0,2020-01-23
Henan,Mainland China,1/23/20 17:00,5.0,0.0,0.0,5.0,2020-01-23
Hong Kong,Hong Kong,1/23/20 17:00,2.0,0.0,0.0,2.0,2020-01-23
Hubei,Mainland China,1/23/20 17:00,444.0,17.0,28.0,399.0,2020-01-23
Hunan,Mainland China,1/23/20 17:00,9.0,0.0,0.0,9.0,2020-01-23
Inner Mongolia,Mainland China,1/23/20 17:00,0.0,0.0,0.0,0.0,2020-01-23
Jiangsu,Mainland China,1/23/20 17:00,5.0,0.0,0.0,5.0,2020-01-23
Jiangxi,Mainland China,1/23/20 17:00,7.0,0.0,0.0,7.0,2020-01-23
Jilin,Mainland China,1/23/20 17:00,1.0,0.0,0.0,1.0,2020-01-23
Liaoning,Mainland China,1/23/20 17:00,3.0,0.0,0.0,3.0,2020-01-23
Macau,Macau,1/23/20 17:00,2.0,0.0,0.0,2.0,2020-01-23
Ningxia,Mainland China,1/23/20 17:00,1.0,0.0,0.0,1.0,2020-01-23
Qinghai,Mainland China,1/23/20 17:00,0.0,0.0,0.0,0.0,2020-01-23
Shaanxi,Mainland China,1/23/20 17:00,3.0,0.0,0.0,3.0,2020-01-23
Shandong,Mainland China,1/23/20 17:00,6.0,0.0,0.0,6.0,2020-01-23
Shanghai,Mainland China,1/23/20 17:00,16.0,0.0,0.0,16.0,2020-01-23
Shanxi,Mainland China,1/23/20 17:00,1.0,0.0,0.0,1.0,2020-01-23
Sichuan,Mainland China,1/23/20 17:00,8.0,0.0,0.0,8.0,2020-01-23
Taiwan,Taiwan,1/23/20 17:00,1.0,0.0,0.0,1.0,2020-01-23
Tianjin,Mainland China,1/23/20 17:00,4.0,0.0,0.0,4.0,2020-01-23
Tibet,Mainland China,1/23/20 17:00,0.0,0.0,0.0,0.0,2020-01-23
Washington,US,1/23/20 17:00,1.0,0.0,0.0,1.0,2020-01-23
Xinjiang,Mainland China,1/23/20 17:00,2.0,0.0,0.0,2.0,2020-01-23
Yunnan,Mainland China,1/23/20 17:00,2.0,0.0,0.0,2.0,2020-01-23
Zhejiang,Mainland China,1/23/20 17:00,27.0,0.0,0.0,27.0,2020-01-23
---,Japan,1/23/20 17:00,1.0,0.0,0.0,1.0,2020-01-23
---,Thailand,1/23/20 17:00,3.0,0.0,0.0,3.0,2020-01-23
---,South Korea,1/23/20 17:00,1.0,0.0,0.0,1.0,2020-01-23
---,Singapore,1/23/20 17:00,1.0,0.0,0.0,1.0,2020-01-23
---,Philippines,1/23/20 17:00,0.0,0.0,0.0,0.0,2020-01-23
---,Malaysia,1/23/20 17:00,0.0,0.0,0.0,0.0,2020-01-23
---,Vietnam,1/23/20 17:00,2.0,0.0,0.0,2.0,2020-01-23
---,Australia,1/23/20 17:00,0.0,0.0,0.0,0.0,2020-01-23
---,Mexico,1/23/20 17:00,0.0,0.0,0.0,0.0,2020-01-23
---,Brazil,1/23/20 17:00,0.0,0.0,0.0,0.0,2020-01-23
---,Colombia,1/23/20 17:00,0.0,0.0,0.0,0.0,2020-01-23
Hubei,Mainland China,1/24/20 17:00,549.0,24.0,31.0,494.0,2020-01-24
Guangdong,Mainland China,1/24/20 17:00,53.0,0.0,2.0,51.0,2020-01-24
Zhejiang,Mainland China,1/24/20 17:00,43.0,0.0,1.0,42.0,2020-01-24
Beijing,Mainland China,1/24/20 17:00,36.0,0.0,1.0,35.0,2020-01-24
Chongqing,Mainland China,1/24/20 17:00,27.0,0.0,0.0,27.0,2020-01-24
Hunan,Mainland China,1/24/20 17:00,24.0,0.0,0.0,24.0,2020-01-24
Guangxi,Mainland China,1/24/20 17:00,23.0,0.0,0.0,23.0,2020-01-24
Shanghai,Mainland China,1/24/20 17:00,20.0,0.0,1.0,19.0,2020-01-24
Jiangxi,Mainland China,1/24/20 17:00,18.0,0.0,0.0,18.0,2020-01-24
Sichuan,Mainland China,1/24/20 17:00,15.0,0.0,0.0,15.0,2020-01-24
Shandong,Mainland China,1/24/20 17:00,15.0,0.0,0.0,15.0,2020-01-24
Anhui,Mainland China,1/24/20 17:00,15.0,0.0,0.0,15.0,2020-01-24
Fujian,Mainland China,1/24/20 17:00,10.0,0.0,0.0,10.0,2020-01-24
Henan,Mainland China,1/24/20 17:00,9.0,0.0,0.0,9.0,2020-01-24
Jiangsu,Mainland China,1/24/20 17:00,9.0,0.0,0.0,9.0,2020-01-24
Hainan,Mainland China,1/24/20 17:00,8.0,0.0,0.0,8.0,2020-01-24
Tianjin,Mainland China,1/24/20 17:00,8.0,0.0,0.0,8.0,2020-01-24
Yunnan,Mainland China,1/24/20 17:00,5.0,0.0,0.0,5.0,2020-01-24
Shaanxi,Mainland China,1/24/20 17:00,5.0,0.0,0.0,5.0,2020-01-24
Heilongjiang,Mainland China,1/24/20 17:00,4.0,1.0,0.0,3.0,2020-01-24
Liaoning,Mainland China,1/24/20 17:00,4.0,0.0,0.0,4.0,2020-01-24
Guizhou,Mainland China,1/24/20 17:00,3.0,0.0,0.0,3.0,2020-01-24
Jilin,Mainland China,1/24/20 17:00,3.0,0.0,0.0,3.0,2020-01-24
Taiwan,Taiwan,1/24/20 17:00,3.0,0.0,0.0,3.0,2020-01-24
Ningxia,Mainland China,1/24/20 17:00,2.0,0.0,0.0,2.0,2020-01-24
Hong Kong,Hong Kong,1/24/20 17:00,2.0,0.0,0.0,2.0,2020-01-24
Macau,Macau,1/24/20 17:00,2.0,0.0,0.0,2.0,2020-01-24
Hebei,Mainland China,1/24/20 17:00,2.0,1.0,0.0,1.0,2020-01-24
